운행일자,요일,월,주운행선,운행거리_km,수송품목,화물중량_톤,상하,출발시간대,공차회송여부,결합배송여부,장마철여부,동절기여부,운휴_지연위험_실현
2026-03-29,일,3,전라선,205.5,기타,10.5,상,오후(12-18),0,0,0,0,0
2026-09-07,월,9,충북선,216.1,광석,14.9,하,오후(12-18),0,1,0,0,0
2026-08-21,금,8,태백선,133.9,석탄,1.0,상,새벽(00-06),0,1,1,0,1
2026-02-21,토,2,태백선,131.0,컨테이너,19.9,상,오후(12-18),0,0,0,1,0
2026-10-31,토,10,충북선,107.3,컨테이너,11.0,하,야간(18-24),0,1,0,0,0
2026-03-14,토,3,중앙선,204.7,석탄,19.8,하,오전(06-12),0,0,0,0,0
2026-10-21,수,10,경부선,276.9,시멘트,16.2,하,오전(06-12),0,0,0,0,1
2026-01-03,토,1,충북선,171.5,컨테이너,17.1,하,오전(06-12),0,1,0,1,0
2026-10-18,일,10,태백선,112.3,컨테이너,24.1,상,오후(12-18),0,0,0,0,0
2026-10-15,목,10,중앙선,256.2,광석,7.3,하,오후(12-18),0,1,0,0,0
2026-10-12,월,10,경부선,342.3,컨테이너,12.8,상,오전(06-12),1,0,0,0,1
2026-08-31,월,8,경부선,411.4,철강,6.1,상,새벽(00-06),0,1,1,0,0
2026-06-22,월,6,충북선,135.7,광석,11.4,상,새벽(00-06),0,0,1,0,0
2026-09-15,화,9,태백선,166.5,석탄,16.3,하,오전(06-12),0,0,0,0,0
2026-04-12,일,4,경부선,248.1,컨테이너,18.8,하,오후(12-18),0,1,0,0,0
2026-10-12,월,10,충북선,166.5,유류,9.7,하,오전(06-12),0,0,0,0,0
2026-07-22,수,7,장항선,167.0,석탄,4.8,상,오전(06-12),0,0,1,0,0
2026-06-17,수,6,호남선,197.0,컨테이너,12.4,하,오전(06-12),0,0,1,0,0
2026-07-04,토,7,경부선,299.5,석탄,6.9,상,오전(06-12),0,0,1,0,1
2026-07-27,월,7,호남선,185.3,컨테이너,8.5,상,오후(12-18),0,0,1,0,0
2026-01-14,수,1,충북선,129.8,석탄,16.0,상,오후(12-18),0,0,0,1,0
2026-02-21,토,2,장항선,170.8,광석,14.9,상,야간(18-24),0,0,0,1,1
2026-03-31,화,3,경부선,324.8,시멘트,17.0,상,새벽(00-06),1,0,0,0,1
2026-02-11,수,2,충북선,190.4,기타,10.0,상,오후(12-18),1,0,0,1,0
2026-06-10,수,6,충북선,168.7,시멘트,18.1,상,새벽(00-06),0,0,1,0,1
2026-09-01,화,9,중앙선,234.1,유류,12.1,하,새벽(00-06),0,0,0,0,0
2026-08-27,목,8,중앙선,141.6,철강,10.3,하,오후(12-18),0,0,1,0,0
2026-06-21,일,6,충북선,150.5,컨테이너,5.4,상,새벽(00-06),0,0,1,0,1
2026-11-09,월,11,충북선,179.1,광석,1.0,상,새벽(00-06),1,0,0,0,0
2026-07-26,일,7,경부선,333.9,광석,2.6,하,새벽(00-06),0,0,1,0,0
2026-01-29,목,1,중앙선,163.2,시멘트,13.3,하,오후(12-18),0,0,0,1,1
2026-10-07,수,10,경부선,357.6,철강,6.6,하,새벽(00-06),0,1,0,0,0
2026-07-29,수,7,부산신항선,9.0,컨테이너,2.1,하,야간(18-24),0,1,1,0,0
2026-08-20,목,8,영동선,98.1,컨테이너,9.5,상,오전(06-12),0,0,1,0,0
2026-07-26,일,7,중앙선,210.3,컨테이너,13.7,하,오전(06-12),0,0,1,0,0
2026-07-22,수,7,경부선,320.4,시멘트,14.5,상,오전(06-12),1,0,1,0,1
2026-02-03,화,2,경부선,299.3,컨테이너,11.8,하,야간(18-24),1,0,0,1,0
2026-07-24,금,7,중앙선,173.8,컨테이너,11.6,하,오후(12-18),0,1,1,0,0
2026-10-18,일,10,부산신항선,7.4,기타,8.8,상,새벽(00-06),0,1,0,0,0
2026-04-21,화,4,중앙선,179.4,시멘트,15.8,하,야간(18-24),0,1,0,0,0
2026-08-09,일,8,경부선,364.2,유류,10.9,하,오전(06-12),0,1,1,0,0
2026-01-12,월,1,경부선,330.0,컨테이너,11.5,하,야간(18-24),1,1,0,1,1
2026-05-07,목,5,경부선,358.5,컨테이너,18.2,상,오전(06-12),0,1,0,0,0
2026-06-09,화,6,태백선,145.8,철강,16.8,하,새벽(00-06),1,0,1,0,1
2026-12-25,금,12,충북선,146.0,시멘트,10.9,하,야간(18-24),0,0,0,1,1
2026-03-20,금,3,충북선,120.1,시멘트,10.0,하,새벽(00-06),0,0,0,0,0
2026-04-11,토,4,중앙선,160.9,기타,10.0,상,오후(12-18),0,0,0,0,0
2026-05-30,토,5,호남선,191.4,컨테이너,1.0,상,오전(06-12),0,0,0,0,1
2026-12-29,화,12,중앙선,167.1,시멘트,18.6,상,새벽(00-06),0,1,0,1,0
2026-11-08,일,11,태백선,155.1,석탄,7.9,상,새벽(00-06),0,0,0,0,0
2026-01-13,화,1,부산신항선,13.5,컨테이너,17.1,상,새벽(00-06),0,1,0,1,1
2026-03-27,금,3,중앙선,270.7,철강,12.2,상,새벽(00-06),0,0,0,0,0
2026-10-27,화,10,부산신항선,8.3,시멘트,20.4,상,오전(06-12),0,1,0,0,0
2026-01-22,목,1,경부선,384.1,컨테이너,15.2,상,오후(12-18),0,1,0,1,0
2026-11-09,월,11,전라선,277.1,시멘트,17.5,상,새벽(00-06),0,1,0,0,0
2026-04-13,월,4,경부선,310.9,시멘트,8.4,하,새벽(00-06),1,1,0,0,0
2026-12-01,화,12,중앙선,209.9,석탄,4.3,상,야간(18-24),0,1,0,1,0
2026-04-18,토,4,경부선,369.8,광석,12.9,상,새벽(00-06),1,0,0,0,1
2026-06-08,월,6,경부선,317.8,철강,1.0,상,야간(18-24),0,1,1,0,0
2026-08-30,일,8,경부선,314.7,시멘트,9.2,하,새벽(00-06),0,0,1,0,0
2026-02-16,월,2,중앙선,171.3,기타,4.9,상,야간(18-24),0,0,0,1,0
2026-07-23,목,7,충북선,102.3,철강,7.0,상,오후(12-18),1,0,1,0,1
2026-07-04,토,7,중앙선,195.8,컨테이너,15.6,상,새벽(00-06),0,0,1,0,0
2026-10-14,수,10,중앙선,168.5,컨테이너,15.2,상,오전(06-12),0,1,0,0,0
2026-12-30,수,12,영동선,93.7,컨테이너,11.0,상,오전(06-12),0,1,0,1,0
2026-08-31,월,8,호남선,218.8,컨테이너,13.9,상,새벽(00-06),0,0,1,0,0
2026-05-30,토,5,경부선,262.1,시멘트,8.8,하,오전(06-12),0,0,0,0,0
2026-05-29,금,5,중앙선,221.5,시멘트,25.0,상,오후(12-18),0,0,0,0,0
2026-06-02,화,6,전라선,243.9,기타,13.8,하,오후(12-18),0,0,1,0,1
2026-10-25,일,10,전라선,217.4,시멘트,8.5,상,새벽(00-06),0,0,0,0,0
2026-04-28,화,4,중앙선,191.1,컨테이너,17.3,상,오후(12-18),0,0,0,0,0
2026-03-02,월,3,장항선,155.8,기타,19.4,하,새벽(00-06),0,0,0,0,0
2026-05-03,일,5,경부선,350.2,시멘트,7.4,상,새벽(00-06),0,0,0,0,0
2026-01-09,금,1,중앙선,199.9,컨테이너,3.5,상,새벽(00-06),0,0,0,1,0
2026-02-08,일,2,전라선,237.3,컨테이너,4.7,상,오전(06-12),0,0,0,1,0
2026-02-02,월,2,충북선,173.8,석탄,8.0,상,새벽(00-06),1,0,0,1,0
2026-10-09,금,10,태백선,122.7,시멘트,11.7,상,새벽(00-06),0,0,0,0,1
2026-09-21,월,9,경부선,259.4,석탄,2.2,하,오전(06-12),0,0,0,0,0
2026-09-12,토,9,경부선,358.5,유류,9.5,상,야간(18-24),0,0,0,0,0
2026-06-18,목,6,경부선,347.7,석탄,10.8,상,오후(12-18),0,1,1,0,0
2026-09-19,토,9,경부선,298.8,유류,13.9,상,야간(18-24),0,0,0,0,0
2026-02-28,토,2,경부선,336.6,철강,15.7,하,새벽(00-06),0,0,0,1,0
2026-11-25,수,11,충북선,192.7,석탄,14.4,상,야간(18-24),0,0,0,0,0
2026-07-02,목,7,충북선,189.8,컨테이너,22.8,하,새벽(00-06),0,1,1,0,0
2026-12-09,수,12,전라선,212.5,시멘트,18.6,하,새벽(00-06),0,1,0,1,0
2026-02-25,수,2,중앙선,141.2,시멘트,13.3,상,새벽(00-06),0,0,0,1,0
2026-07-01,수,7,경부선,267.5,시멘트,6.2,상,오전(06-12),0,0,1,0,0
2026-09-12,토,9,전라선,220.0,시멘트,7.9,상,새벽(00-06),0,1,0,0,0
2026-06-30,화,6,경부선,378.7,석탄,3.4,하,오후(12-18),0,1,1,0,0
2026-06-12,금,6,태백선,120.9,시멘트,12.9,하,야간(18-24),0,0,1,0,0
2026-03-02,월,3,경부선,296.3,시멘트,14.0,하,새벽(00-06),0,0,0,0,0
2026-05-20,수,5,충북선,145.9,시멘트,17.4,상,야간(18-24),0,1,0,0,0
2026-03-29,일,3,부산신항선,9.0,광석,13.6,상,새벽(00-06),0,1,0,0,1
2026-04-21,화,4,충북선,161.0,시멘트,18.3,상,새벽(00-06),0,0,0,0,0
2026-09-07,월,9,충북선,129.3,철강,18.4,상,새벽(00-06),0,0,0,0,0
2026-08-19,수,8,전라선,261.9,석탄,5.8,상,새벽(00-06),0,1,1,0,0
2026-08-10,월,8,경부선,314.4,시멘트,8.9,상,새벽(00-06),0,0,1,0,1
2026-05-13,수,5,전라선,303.8,철강,11.9,상,새벽(00-06),1,0,0,0,0
2026-12-17,목,12,부산신항선,7.1,광석,7.8,상,오전(06-12),0,0,0,1,0
2026-02-01,일,2,영동선,133.6,철강,10.5,하,야간(18-24),0,0,0,1,0
2026-05-06,수,5,중앙선,242.0,광석,13.8,하,야간(18-24),0,0,0,0,0
2026-02-13,금,2,중앙선,178.9,시멘트,11.3,하,야간(18-24),1,0,0,1,0
2026-05-04,월,5,장항선,171.7,광석,12.0,하,새벽(00-06),0,0,0,0,0
2026-12-18,금,12,충북선,138.3,유류,6.3,하,새벽(00-06),0,1,0,1,1
2026-05-14,목,5,경부선,283.8,철강,15.0,하,오후(12-18),0,0,0,0,0
2026-11-28,토,11,경부선,320.2,유류,14.6,상,오후(12-18),0,0,0,0,0
2026-06-30,화,6,경부선,321.0,철강,7.4,하,새벽(00-06),0,0,1,0,1
2026-09-13,일,9,중앙선,137.2,시멘트,4.2,하,야간(18-24),0,1,0,0,0
2026-06-16,화,6,경부선,411.9,시멘트,19.4,상,야간(18-24),0,1,1,0,0
2026-04-08,수,4,경부선,309.8,시멘트,22.5,하,오전(06-12),0,1,0,0,0
2026-10-06,화,10,경부선,322.8,석탄,13.4,상,야간(18-24),0,1,0,0,0
2026-12-20,일,12,호남선,192.5,컨테이너,9.8,하,새벽(00-06),0,0,0,1,0
2026-04-07,화,4,경부선,309.5,철강,18.3,상,오전(06-12),0,1,0,0,0
2026-10-12,월,10,경부선,305.9,시멘트,14.8,하,새벽(00-06),1,0,0,0,0
2026-04-06,월,4,중앙선,193.2,시멘트,10.7,하,오후(12-18),0,0,0,0,0
2026-09-19,토,9,경부선,319.6,컨테이너,17.8,하,새벽(00-06),0,0,0,0,0
2026-10-15,목,10,영동선,121.9,컨테이너,7.1,상,오전(06-12),0,0,0,0,0
2026-06-14,일,6,부산신항선,11.3,석탄,7.9,상,새벽(00-06),0,1,1,0,0
2026-09-26,토,9,중앙선,217.9,시멘트,14.2,상,오전(06-12),0,0,0,0,0
2026-04-10,금,4,중앙선,193.0,컨테이너,12.7,하,오후(12-18),1,0,0,0,0
2026-01-29,목,1,중앙선,201.4,컨테이너,15.8,하,오전(06-12),0,1,0,1,0
2026-02-05,목,2,경부선,310.5,시멘트,19.2,하,오전(06-12),1,0,0,1,1
2026-06-13,토,6,중앙선,228.4,컨테이너,2.7,하,야간(18-24),0,0,1,0,0
2026-11-26,목,11,경부선,333.1,컨테이너,12.2,상,야간(18-24),0,0,0,0,0
2026-02-16,월,2,경부선,313.9,석탄,23.4,하,야간(18-24),0,1,0,1,0
2026-06-16,화,6,충북선,156.6,철강,8.4,상,새벽(00-06),0,1,1,0,0
2026-09-14,월,9,경부선,315.8,기타,7.7,상,오전(06-12),0,0,0,0,0
2026-03-15,일,3,경부선,321.4,컨테이너,1.0,상,야간(18-24),0,1,0,0,1
2026-09-21,월,9,중앙선,191.3,컨테이너,12.6,상,야간(18-24),0,0,0,0,0
2026-04-22,수,4,중앙선,173.7,컨테이너,15.5,하,새벽(00-06),0,1,0,0,0
2026-10-23,금,10,경부선,350.8,석탄,15.5,하,야간(18-24),0,0,0,0,0
2026-07-31,금,7,경부선,353.3,컨테이너,5.8,하,오전(06-12),0,0,1,0,0
2026-07-19,일,7,경부선,391.6,컨테이너,11.9,상,야간(18-24),0,0,1,0,0
2026-03-06,금,3,경부선,296.1,시멘트,13.3,하,오전(06-12),0,0,0,0,0
2026-06-19,금,6,장항선,192.9,시멘트,12.3,상,새벽(00-06),0,0,1,0,0
2026-11-09,월,11,부산신항선,5.0,시멘트,5.4,하,새벽(00-06),0,1,0,0,0
2026-01-08,목,1,중앙선,222.3,석탄,12.5,하,새벽(00-06),0,0,0,1,0
2026-10-04,일,10,중앙선,142.3,유류,7.1,상,오후(12-18),0,0,0,0,0
2026-06-29,월,6,전라선,199.9,시멘트,1.0,하,오후(12-18),1,0,1,0,0
2026-09-20,일,9,충북선,169.6,컨테이너,16.1,하,오전(06-12),0,0,0,0,1
2026-08-31,월,8,경부선,295.3,시멘트,12.8,하,오후(12-18),0,0,1,0,0
2026-06-07,일,6,경부선,289.9,컨테이너,15.6,상,오전(06-12),0,0,1,0,0
2026-04-23,목,4,중앙선,176.3,컨테이너,8.8,하,새벽(00-06),0,0,0,0,0
2026-08-17,월,8,충북선,179.5,시멘트,15.8,하,새벽(00-06),0,1,1,0,1
2026-02-21,토,2,경부선,282.9,컨테이너,18.1,하,오전(06-12),0,0,0,1,1
2026-08-02,일,8,중앙선,191.4,컨테이너,22.5,상,오전(06-12),1,0,1,0,1
2026-02-04,수,2,중앙선,180.0,석탄,16.9,상,야간(18-24),1,0,0,1,0
2026-08-26,수,8,경부선,353.0,유류,14.3,하,야간(18-24),0,1,1,0,0
2026-08-18,화,8,중앙선,223.0,컨테이너,3.7,하,오전(06-12),0,1,1,0,0
2026-01-31,토,1,전라선,174.3,시멘트,11.4,상,새벽(00-06),0,1,0,1,1
2026-10-04,일,10,충북선,187.4,기타,3.5,하,야간(18-24),0,1,0,0,0
2026-06-01,월,6,경부선,295.8,컨테이너,7.1,하,새벽(00-06),0,0,1,0,1
2026-10-15,목,10,경부선,329.7,철강,23.7,하,오전(06-12),0,0,0,0,0
2026-01-16,금,1,태백선,116.7,컨테이너,5.9,상,야간(18-24),1,0,0,1,0
2026-03-07,토,3,중앙선,206.3,광석,1.0,상,야간(18-24),0,0,0,0,1
2026-06-30,화,6,경부선,422.3,컨테이너,16.9,상,야간(18-24),0,1,1,0,0
2026-03-10,화,3,경부선,325.3,컨테이너,8.0,상,새벽(00-06),0,0,0,0,0
2026-05-01,금,5,장항선,170.4,기타,16.6,하,오전(06-12),0,0,0,0,0
2026-08-30,일,8,장항선,175.0,석탄,5.0,하,야간(18-24),0,0,1,0,1
2026-02-22,일,2,부산신항선,6.2,컨테이너,9.4,상,새벽(00-06),0,0,0,1,0
2026-09-05,토,9,충북선,197.5,철강,19.2,상,야간(18-24),0,1,0,0,0
2026-02-07,토,2,중앙선,204.3,광석,4.1,상,오전(06-12),0,0,0,1,1
2026-03-05,목,3,중앙선,156.6,시멘트,11.0,상,야간(18-24),1,1,0,0,0
2026-08-03,월,8,경부선,279.5,컨테이너,13.7,상,오전(06-12),0,0,1,0,0
2026-10-17,토,10,전라선,229.9,컨테이너,7.7,하,새벽(00-06),0,0,0,0,0
2026-03-04,수,3,충북선,184.6,광석,13.5,상,야간(18-24),0,0,0,0,0
2026-04-20,월,4,경부선,274.2,컨테이너,12.1,상,오후(12-18),0,0,0,0,0
2026-12-04,금,12,부산신항선,13.9,컨테이너,15.2,상,오전(06-12),0,0,0,1,0
2026-12-28,월,12,중앙선,190.1,컨테이너,23.1,하,야간(18-24),0,0,0,1,0
2026-08-01,토,8,경부선,283.0,컨테이너,25.0,상,오후(12-18),0,0,1,0,1
2026-06-13,토,6,중앙선,176.9,시멘트,14.8,하,오후(12-18),0,0,1,0,0
2026-05-07,목,5,태백선,170.5,시멘트,11.3,상,오전(06-12),0,0,0,0,0
2026-08-12,수,8,부산신항선,6.4,컨테이너,14.6,상,야간(18-24),0,1,1,0,0
2026-08-04,화,8,중앙선,167.7,컨테이너,10.6,상,오후(12-18),0,0,1,0,1
2026-04-18,토,4,호남선,232.0,컨테이너,2.5,하,오후(12-18),0,0,0,0,1
2026-01-09,금,1,부산신항선,11.2,컨테이너,11.7,상,야간(18-24),0,0,0,1,0
2026-02-25,수,2,태백선,119.7,컨테이너,18.5,상,새벽(00-06),0,0,0,1,0
2026-12-16,수,12,태백선,154.8,철강,3.2,하,야간(18-24),1,0,0,1,0
2026-06-02,화,6,중앙선,228.7,컨테이너,6.1,상,야간(18-24),0,0,1,0,0
2026-06-26,금,6,장항선,186.2,컨테이너,8.5,상,새벽(00-06),1,0,1,0,1
2026-06-20,토,6,충북선,146.0,시멘트,14.2,상,오후(12-18),0,0,1,0,1
2026-10-13,화,10,전라선,215.7,철강,25.0,상,야간(18-24),0,0,0,0,0
2026-01-24,토,1,경부선,331.6,석탄,7.1,하,오전(06-12),1,1,0,1,0
2026-01-31,토,1,전라선,190.0,기타,12.5,하,새벽(00-06),0,0,0,1,0
2026-04-11,토,4,호남선,241.4,컨테이너,12.0,상,새벽(00-06),0,1,0,0,0
2026-06-27,토,6,중앙선,252.8,컨테이너,10.2,상,새벽(00-06),0,1,1,0,0
2026-09-02,수,9,영동선,106.3,컨테이너,11.7,하,오전(06-12),0,1,0,0,1
2026-06-29,월,6,중앙선,205.8,컨테이너,9.2,상,오후(12-18),0,1,1,0,1
2026-06-11,목,6,경부선,367.6,기타,25.0,상,오후(12-18),1,0,1,0,0
2026-12-09,수,12,경부선,398.4,시멘트,16.5,하,오전(06-12),0,0,0,1,0
2026-02-28,토,2,장항선,210.7,철강,9.3,상,오전(06-12),0,1,0,1,0
2026-07-28,화,7,충북선,117.9,기타,19.1,하,오후(12-18),0,0,1,0,0
2026-07-17,금,7,중앙선,182.3,유류,13.5,하,야간(18-24),0,0,1,0,1
2026-06-22,월,6,충북선,173.8,시멘트,12.3,상,야간(18-24),0,0,1,0,1
2026-10-22,목,10,중앙선,176.0,유류,10.9,하,오후(12-18),1,1,0,0,0
2026-04-08,수,4,중앙선,255.7,시멘트,10.5,상,새벽(00-06),0,0,0,0,0
